Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
"Foundation (Foundation, #1)",Isaac Asimov,4.17,539593,875.0
"The Code of the Woosters (Jeeves, #7)",P.G. Wodehouse,4.32,28684,865.0
"The Commitments (The Barrytown Trilogy, #1; Jimmy Rabbitte, #1)",Roddy Doyle,3.93,16382,856.0
"The Giver (The Giver, #1)",Lois Lowry (Goodreads Author),4.12,2481009,851.0
We,Yevgeny Zamyatin,3.89,97326,841.0
A Connecticut Yankee in King Arthur's Court,Mark Twain,3.77,103530,836.0
The Magus,John Fowles,4.05,58639,832.0
Suite Francaise,Irène Némirovsky,3.85,74194,830.0
High Fidelity,Nick Hornby,3.91,201637,821.0
A Fine Balance,Rohinton Mistry,4.37,149546,821.0
The House of Mirth,Edith Wharton,3.97,97978,820.0
Cloud Atlas,David Mitchell,4.01,248920,819.0
The Mayor of Casterbridge,Thomas Hardy,3.86,62448,816.0
The Thorn Birds,Colleen McCullough,4.24,350084,804.0
The Turn of the Screw,Henry James,3.39,156165,797.0
American Psycho,Bret Easton Ellis,3.81,314447,789.0
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,227457,783.0
Fatherland,Robert   Harris (Goodreads Author),4.01,47813,769.0
"Regeneration (Regeneration, #1)",Pat Barker,4.02,31091,765.0
Tintin in Tibet (Tintin #20),Hergé,4.23,17986,762.0
My Cousin Rachel,Daphne du Maurier,4.0,59200,754.0
"The 39 Steps (Richard Hannay, #1)",John Buchan,3.6,41189,753.0
"Trainspotting (Mark Renton, #2)",Irvine Welsh,4.1,167256,745.0
Fingersmith,Sarah Waters,4.02,106299,743.0
The Shipping News,Annie Proulx,3.88,146141,742.0
Howards End,E.M. Forster,3.96,89699,732.0
Oliver Twist,Charles Dickens,3.88,389006,732.0
The Island of Dr. Moreau,H.G. Wells,3.73,121069,730.0
The Magic Mountain,Thomas Mann,4.13,49514,716.0
Solaris,Stanisław Lem,3.99,107762,715.0
"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,166396,712.0
House of Leaves,Mark Z. Danielewski (Goodreads Author),4.09,170302,711.0
Death in Venice and Other Tales,Thomas Mann,3.9,16772,708.0
Peter Pan,J.M. Barrie,4.04,347522,708.0
"The Earthsea Trilogy (Earthsea Cycle, #1-3)",Ursula K. Le Guin,4.28,20729,705.0
The Haunting of Hill House,Shirley Jackson,3.82,303821,702.0
Lady Chatterley's Lover,D.H. Lawrence,3.5,125708,699.0
A Handful of Dust,Evelyn Waugh,3.9,26381,697.0
"The Long Goodbye (Philip Marlowe, #6)",Raymond Chandler,4.19,42511,693.0
The Idiot,Fyodor Dostoevsky,4.21,182963,689.0
The Moonstone,Wilkie Collins,3.91,93166,679.0
"The History of Tom Jones, a Foundling",Henry Fielding,3.75,33364,664.0
White Teeth,Zadie Smith,3.79,157634,658.0
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,3.73,21804,656.0
The Man in the High Castle,Philip K. Dick,3.6,212974,650.0
East of Eden,John Steinbeck,4.41,539453,644.0
Native Son,Richard Wright,4.03,99150,643.0
"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,4.08,110160,635.0
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,4.19,76718,632.0
Empire of the Sun,J.G. Ballard,3.98,20667,626.0
The Constant Gardener,John le Carré,3.82,28357,624.0
Oblomov,Ivan Goncharov,4.12,38695,622.0
Naked Lunch,William S. Burroughs,3.46,91302,619.0
The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,202747,616.0
The Red Badge of Courage,Stephen Crane,3.29,104373,609.0
Scoop,Evelyn Waugh,3.8,20778,596.0
Orlando,Virginia Woolf,3.87,93305,590.0
Lucky Jim,Kingsley Amis,3.75,29860,578.0
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.1,959063,574.0
"Murder Must Advertise  (Lord Peter Wimsey, #10)",Dorothy L. Sayers,4.17,23222,573.0
The Sound and the Fury,William Faulkner,3.85,182173,571.0
Disgrace,J.M. Coetzee,3.85,106413,568.0
Northanger Abbey,Jane Austen,3.85,401445,565.0
A History of the World in 10½  Chapters,Julian Barnes,3.88,15405,560.0
"Asterix the Gaul (Asterix, #1)",René Goscinny,4.18,30475,555.0
Misery,Stephen King (Goodreads Author),4.21,699059,555.0
"Neuromancer (Sprawl, #1)",William Gibson,3.9,327237,547.0
Germinal,Émile Zola,4.19,37829,543.0
The Third Man,Graham Greene,3.8,14946,534.0
I Am Legend and Other Stories,Richard Matheson,4.0,131370,531.0
The Beach,Alex Garland,3.97,87553,530.0
The English Patient,Michael Ondaatje,3.87,132071,529.0
Mansfield Park,Jane Austen,3.86,349910,526.0
The Day of the Triffids,John Wyndham,4.01,107675,525.0
Blindness,José Saramago,4.17,290071,519.0
The Uncommon Reader,Alan Bennett,3.74,53723,516.0
Molloy,Samuel Beckett,4.04,8599,514.0
The Witches of Eastwick,John Updike,3.23,17311,506.0
"Titus Groan (Gormenghast, #1)",Mervyn Peake,3.92,20745,498.0
Miss Smilla's Feeling for Snow,Peter Høeg,3.74,49205,498.0
Barchester Towers (Chronicles of Barsetshire #2),Anthony Trollope,4.05,16667,491.0
The Maltese Falcon,Dashiell Hammett,3.88,107081,488.0
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.53,191091,483.0
The Pickwick Papers,Charles Dickens,3.85,29784,482.0
Notes from Underground,Fyodor Dostoevsky,4.18,161266,479.0
The Bonfire of the Vanities,Tom Wolfe,3.9,80910,478.0
The Age of Innocence,Edith Wharton,3.97,174692,475.0
Ivanhoe,Walter Scott,3.76,94820,466.0
Carrie's War,Nina Bawden,3.92,8756,464.0
The Stars My Destination,Alfred Bester,4.07,51344,461.0
The Andromeda Strain,Michael Crichton,3.91,255876,459.0
"Dissolution (Matthew Shardlake, #1)",C.J. Sansom,4.06,53961,457.0
Travels with My Aunt,Graham Greene,3.81,15222,456.0
Flaubert's Parrot,Julian Barnes,3.65,15411,450.0
Far From the Madding Crowd,Thomas Hardy,3.96,153419,448.0
Kindred,Octavia E. Butler,4.3,218331,443.0
"Thank You, Jeeves (Jeeves, #5)",P.G. Wodehouse,4.18,18238,442.0
The Reader,Bernhard Schlink,3.78,210955,442.0
Enduring Love,Ian McEwan (Goodreads Author),3.64,44597,438.0
The Jungle,Upton Sinclair,3.77,145571,434.0
"Ringworld (Ringworld, #1)",Larry Niven,3.95,121697,433.0
The French Lieutenant's Woman,John Fowles,3.88,52983,429.0
"The Secret Diary of Adrian Mole, Aged 13 3/4  (Adrian Mole, #1)",Sue Townsend,3.88,48992,424.0
The Mill on the Floss,George Eliot,3.82,55356,423.0
Little Dorrit,Charles Dickens,4.0,47848,422.0
Palace Walk (The Cairo Trilogy #1),Naguib Mahfouz,4.19,19939,418.0
"Casino Royale (James Bond, #1)",Ian Fleming,3.74,85038,416.0
My Name Is Asher Lev,Chaim Potok,4.23,41407,413.0
Le Grand Meaulnes,Alain-Fournier,3.72,13359,411.0
"The Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,4.05,188998,411.0
Of Human Bondage,W. Somerset Maugham,4.14,57123,409.0
True History of the Kelly Gang,Peter Carey,3.83,22803,407.0
Cat’s Eye,Margaret Atwood (Goodreads Author),3.94,68325,407.0
A Kestrel for a Knave,Barry Hines,4.05,6848,400.0
The Power and the Glory,Graham Greene,3.98,39550,398.0
"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,4.04,67609,398.0
Journey to the Center of the Earth,Jules Verne,3.85,200541,395.0
Midnight’s Children,Salman Rushdie,3.98,123843,393.0
Zorba the Greek,Nikos Kazantzakis,4.05,51560,387.0
The Postman Always Rings Twice,James M. Cain,3.77,43329,384.0
"Tales of the City (Tales of the City, #1)",Armistead Maupin,4.0,44325,383.0
Sister Carrie,Theodore Dreiser,3.77,40158,372.0
The Third Policeman,Flann O'Brien,3.98,20423,370.0
Wide Sargasso Sea,Jean Rhys,3.59,92995,370.0
Silas Marner,George Eliot,3.68,87035,368.0
Only Forward,Michael Marshall Smith (Goodreads Author),4.22,5822,368.0
"Love Story (Love Story, #1)",Erich Segal,3.64,60626,368.0
