Book Name,Author,Average Rating,Number of Ratings,Score on Goodreads
Being Dead,Jim Crace,3.72,5146,44.0
The Map of Love,Ahdaf Soueif,3.81,6898,44.0
Pointed Roofs,Dorothy M. Richardson,3.34,302,44.0
Andersonville,MacKinlay Kantor,4.1,8122,44.0
"The History of Rasselas, Prince of Abissinia",Samuel Johnson,3.46,6481,43.0
The Towers of Trebizond,Rose Macaulay,3.67,1684,43.0
Anthills of the Savannah,Chinua Achebe,3.85,4218,43.0
The Man with the Golden Arm,Nelson Algren,3.87,3045,43.0
"Bones and Silence (Dalziel & Pascoe, #11)",Reginald Hill,4.03,2982,43.0
Fortunes of Richard Mahony,Henry Handel Richardson,4.14,351,43.0
To Each His Own,Leonardo Sciascia,3.82,6095,42.0
Day,A.L. Kennedy,3.4,706,42.0
Under Western Eyes,Joseph Conrad,3.7,3227,41.0
The Home and the World,Rabindranath Tagore,3.83,5350,41.0
Staying On,Paul Scott,3.89,3927,41.0
Epitaph for a Spy,Eric Ambler,3.91,4697,41.0
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,4.08,23996,40.0
Last Exit to Brooklyn,Hubert Selby Jr.,3.92,27288,40.0
The Asphalt Jungle,W.R. Burnett,3.93,2263,40.0
The Lonely Londoners,Sam Selvon,3.71,11309,39.0
The Three Sisters,May Sinclair,3.7,258,39.0
"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,4.04,124167,39.0
The Naked and the Dead,Norman Mailer,3.94,25421,39.0
The Black Prince,Iris Murdoch,3.95,6020,38.0
Ascent,Jed Mercurio,3.78,571,38.0
Mary Barton,Elizabeth Gaskell,3.74,20022,38.0
Silence,Shūsaku Endō,4.09,34236,37.0
The Case of Comrade Tulayev,Victor Serge,4.11,1416,37.0
The Manchurian Candidate,Richard Condon,4.09,24406,37.0
Ingenious Pain,Andrew  Miller,3.71,1828,36.0
"Ratking (Aurelio Zen, #1)",Michael Dibdin,3.74,4960,36.0
Rickshaw Boy,Lao She,3.89,2342,36.0
"Sharpe's Eagle (Sharpe, #8)",Bernard Cornwell (Goodreads Author),4.29,15408,36.0
"Dead Lagoon (Aurelio Zen, #4)",Michael Dibdin,3.86,2207,36.0
The Man Who Loved Children,Christina Stead,3.57,4457,36.0
Barry Lyndon,William Makepeace Thackeray,3.63,2510,35.0
A Rich Full Death,Michael Dibdin,3.55,421,35.0
The Children of the New Forest,Frederick Marryat,3.88,5499,35.0
Mother London,Michael Moorcock,3.76,633,34.0
This Sporting Life,David Storey,3.61,523,33.0
The Crime of Father Amaro,Eça de Queirós,4.13,6678,33.0
Angel,Elizabeth Taylor,3.86,2632,33.0
The Cruel Sea,Nicholas Monsarrat,4.21,7683,33.0
The Bottle Factory Outing,Beryl Bainbridge,3.37,2296,32.0
The Red Room,August Strindberg,3.26,3821,32.0
Death in Summer,William Trevor,3.69,1119,32.0
"History (La Storia, #1-2)",Elsa Morante,4.28,6912,32.0
"The Big Nowhere (L.A. Quartet, #2)",James Ellroy,4.08,17435,31.0
Getaway,Jim Thompson,3.92,6784,31.0
Paz en la guerra,Miguel de Unamuno,3.36,94,31.0
The Sorrow of War,Bảo Ninh,4.07,9360,31.0
Thérèse Raquin,Émile Zola,3.73,32625,30.0
The Last Chronicle of Barset (Chronicles of Barsetshire #6),Anthony Trollope,4.18,6043,30.0
"Rabbit Novels: Rabbit, Run and Rabbit Redux",John Updike,3.99,1157,30.0
"The Neon Rain (Dave Robicheaux, #1)",James Lee Burke,3.92,26040,29.0
Wise Children,Angela Carter,3.91,8955,29.0
The King of Torts,John Grisham (Goodreads Author),3.72,86083,29.0
"Morvern Callar (Morvern Callar Cycle, #1)",Alan Warner,3.69,4256,29.0
"The Valley of Bones (A Dance to the Music of Time, #7)",Anthony Powell,4.11,888,29.0
"The Virgin in the Garden (The Frederica Quartet, #1)",A.S. Byatt,3.72,3442,28.0
Couples,John Updike,3.58,5528,28.0
Hangover Square,Patrick Hamilton,4.13,5163,28.0
The History of Mr. Polly,H.G. Wells,3.65,1916,28.0
"The Soldier's Art (A Dance to the Music of Time, #8)",Anthony Powell,4.2,865,28.0
The Poisoned Chocolates Case,Anthony Berkeley,3.77,3031,27.0
Z,Vassilis Vassilikos,4.03,1382,27.0
Black Sunday,Thomas  Harris,3.62,9016,27.0
Frost in May (Frost in May #1),Antonia White,3.85,2070,27.0
"The Military Philosophers (A Dance to the Music of Time, #9)",Anthony Powell,4.06,840,27.0
Tourist Season,Carl Hiaasen (Goodreads Author),3.92,22060,26.0
The Tree of Man,Patrick White,3.96,2015,26.0
The Adventures of Baron Münchausen,Rudolf Erich Raspe,3.81,7965,26.0
La Bête humaine,Émile Zola,4.04,11535,25.0
The Friends of Eddie Coyle,George V. Higgins,4.06,9446,25.0
"I'll Go to Bed at Noon (The Jones Trilogy, #2)",Gerard Woodward (Goodreads Author),3.73,539,25.0
The Devil to Pay in the Backlands,João Guimarães Rosa,4.6,5382,25.0
A Glastonbury Romance,John Cowper Powys,4.23,431,24.0
Crome Yellow,Aldous Huxley,3.42,8264,24.0
The Driver's Seat,Muriel Spark,3.61,9907,24.0
Master Georgie,Beryl Bainbridge,3.52,2299,24.0
The Hunters,James Salter,4.1,2275,24.0
Giovanni’s Room,James Baldwin,4.32,157162,23.0
An Ice-Cream War,William  Boyd,3.9,4049,22.0
Nightwood,Djuna Barnes,3.61,12871,22.0
Dirty Tricks,Michael Dibdin,3.63,539,21.0
"A Rage in Harlem (Harlem Cycle, #1)",Chester Himes,3.89,6678,21.0
52 Pickup,Elmore Leonard,3.95,8061,21.0
The Garden of the Finzi-Continis,Giorgio Bassani,3.78,12557,21.0
The Young Lions,Irwin Shaw,4.22,4237,21.0
"Death at the President's Lodging (Sir John Appleby, #1)",Michael Innes,3.56,1893,20.0
Love for Lydia,H.E. Bates,3.9,664,20.0
Castle Rackrent,Maria Edgeworth,3.17,4002,19.0
"The Pursuit of Love (Radlett & Montdore, #1)",Nancy Mitford,3.95,19635,19.0
"A Taste for Death (Adam Dalgliesh, #7)",P.D. James,4.02,15679,19.0
More Die of Heartbreak,Saul Bellow,3.71,1501,19.0
The Charterhouse of Parma,Stendhal,3.8,18189,19.0
Beauty and Sadness,Yasunari Kawabata,3.82,12732,18.0
The Death of the Heart,Elizabeth Bowen,3.65,8331,18.0
"The History Of Pompey The Little: Or, The Life And Adventures Of A Lap-dog",Francis Coventry,2.92,104,17.0
The Adventures of Peregrine Pickle,Tobias Smollett,3.41,752,17.0
The Heat of the Day,Elizabeth Bowen,3.4,2510,17.0
A Sentimental Journey,Laurence Sterne,3.32,6013,17.0
Bomber,Len Deighton,4.19,3032,16.0
"Get Shorty (Chili Palmer, #1)",Elmore Leonard,3.96,23590,16.0
Look at Me,Anita Brookner,3.95,2322,16.0
A Flag for Sunrise,Robert  Stone,3.86,1060,16.0
Headlong Hall,Thomas Love Peacock,3.36,163,15.0
Three Soldiers,John Dos Passos,3.56,1270,15.0
Tom Brown's Schooldays,Thomas Hughes,3.44,2802,15.0
Motherless Brooklyn,Jonathan Lethem,3.86,40961,15.0
Rubyfruit Jungle,Rita Mae Brown,3.92,42381,15.0
Sophie’s Choice,William Styron,4.17,91087,15.0
South Wind,Norman Douglas,3.64,297,14.0
The Unbearable Bassington,Saki,3.76,655,14.0
A Month in the Country,J.L. Carr,4.12,15992,14.0
Tobacco Road,Erskine Caldwell,3.71,15228,13.0
"Justine (The Alexandria Quartet, #1)",Lawrence Durrell,3.85,9137,13.0
Claudine at School,Colette,3.72,2437,13.0
"Men at Arms (Sword of Honour, #1)",Evelyn Waugh,3.91,3283,13.0
Millennium People,J.G. Ballard,3.37,2665,12.0
The Bamboo Bed,William Eastlake,3.65,43,12.0
A Quiet Belief in Angels,R.J. Ellory,3.84,6571,12.0
"Toxic Shock (V.I. Warshawski, #5)",Sara Paretsky (Goodreads Author),4.03,9917,12.0
The Princesse de Clèves,Madame de La Fayette,3.35,16216,12.0
The Insult,Rupert Thomson,3.58,1253,11.0
"Sybil, or the Two Nations",Benjamin Disraeli,3.3,1185,11.0
"Nineteen Seventy Four (Red Riding, #1)",David Peace,3.62,5740,11.0
The Parasites,Daphne du Maurier,3.72,2419,11.0
Parade's End,Ford Madox Ford,3.87,6614,10.0
A Heart So White,Javier Marías,4.01,14657,10.0
"The Hanging Garden (Inspector Rebus, #9)",Ian Rankin (Goodreads Author),4.09,13206,10.0
"Nineteen Seventy Seven (Red Riding, #2)",David Peace,3.85,3401,10.0
"The Big Blowdown (D.C. Quartet, #1)",George P. Pelecanos,4.03,2766,9.0
The Strange Boarders of Palace Crescent,E. Phillips Oppenheim,3.58,33,8.0
Hard Revolution (Derek Strange & Terry Quinn #4),George P. Pelecanos,3.97,2647,8.0
Lush Life,Richard Price,3.73,14360,7.0
Living,Henry Green,3.67,464,7.0
The Great Impersonation,E. Phillips Oppenheim,3.9,971,6.0
A Judgement in Stone,Ruth Rendell,3.9,7372,6.0
The Well of Loneliness,Radclyffe Hall,3.74,16926,6.0
The Woodlanders,Thomas Hardy,3.89,16604,6.0
Live Flesh,Ruth Rendell,3.75,1657,5.0
The Transit of Venus,Shirley Hazzard,4.0,4276,4.0
The Old Men at the Zoo,Angus Wilson,3.35,126,3.0
"The Case of the Gilded Fly (Gervase Fen, #1)",Edmund Crispin,3.52,3251,3.0
The Swimming-Pool Library,Alan Hollinghurst,3.73,10238,3.0
A Dark-Adapted Eye,Barbara Vine,3.93,9616,2.0
A Fatal Inversion,Barbara Vine,3.94,4491,1.0
